,categories
18371,"[{'alias': 'indonesian', 'title': 'Indonesian'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]"
18372,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'customcakes', 'title': 'Custom Cakes'}]"
18373,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
18374,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]"
18375,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
18376,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'soup', 'title': 'Soup'}]"
18377,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'foodstands', 'title': 'Food Stands'}]"
18378,"[{'alias': 'bars', 'title': 'Bars'}]"
18379,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'popuprestaurants', 'title': 'Pop-Up Restaurants'}]"
18380,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
18381,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
18382,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
18383,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]"
18384,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18385,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]"
18386,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]"
18387,"[{'alias': 'poke', 'title': 'Poke'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'acaibowls', 'title': 'Acai Bowls'}]"
18388,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18389,"[{'alias': 'chinese', 'title': 'Chinese'}]"
18390,"[{'alias': 'southafrican', 'title': 'South African'}]"
18391,"[{'alias': 'mexican', 'title': 'Mexican'}]"
18392,"[{'alias': 'localflavor', 'title': 'Local Flavor'}]"
18393,"[{'alias': 'soup', 'title': 'Soup'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18394,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'divebars', 'title': 'Dive Bars'}]"
18395,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
18396,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]"
18397,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'delis', 'title': 'Delis'}]"
18398,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]"
18399,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}]"
18400,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'burgers', 'title': 'Burgers'}]"
18401,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
18402,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
18403,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
18404,"[{'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
18405,"[{'alias': 'museums', 'title': 'Museums'}, {'alias': 'libraries', 'title': 'Libraries'}]"
18406,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
18407,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]"
18408,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}]"
18409,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'australian', 'title': 'Australian'}, {'alias': 'british', 'title': 'British'}]"
18410,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]"
18411,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}]"
18412,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
18413,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
18414,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
18415,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
18416,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
18417,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
18418,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'seafood', 'title': 'Seafood'}]"
18419,"[{'alias': 'pizza', 'title': 'Pizza'}]"
18420,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
18421,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]"
18422,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}]"
18423,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
18424,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18425,"[{'alias': 'farmersmarket', 'title': 'Farmers Market'}, {'alias': 'cafeteria', 'title': 'Cafeteria'}]"
18426,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
18427,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]"
18428,"[{'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
18429,"[{'alias': 'korean', 'title': 'Korean'}]"
18430,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'japanese', 'title': 'Japanese'}]"
18431,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'bangladeshi', 'title': 'Bangladeshi'}, {'alias': 'halal', 'title': 'Halal'}]"
18432,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
18433,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}]"
18434,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
18435,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}]"
18436,"[{'alias': 'thai', 'title': 'Thai'}]"
18437,"[{'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'chinese', 'title': 'Chinese'}]"
18438,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
18439,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18440,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
18441,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'latin', 'title': 'Latin American'}]"
18442,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}]"
18443,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]"
18444,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}]"
18445,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}]"
18446,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
18447,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
18448,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]"
18449,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'korean', 'title': 'Korean'}]"
18450,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18451,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'ramen', 'title': 'Ramen'}]"
18452,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
18453,"[{'alias': 'korean', 'title': 'Korean'}]"
18454,"[{'alias': 'thai', 'title': 'Thai'}]"
18455,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
18456,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'vegan', 'title': 'Vegan'}]"
18457,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
18458,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
18459,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'bars', 'title': 'Bars'}]"
18460,"[{'alias': 'indonesian', 'title': 'Indonesian'}, {'alias': 'halal', 'title': 'Halal'}]"
18461,"[{'alias': 'colombian', 'title': 'Colombian'}]"
18462,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
18463,"[{'alias': 'korean', 'title': 'Korean'}]"
18464,"[{'alias': 'mexican', 'title': 'Mexican'}]"
18465,"[{'alias': 'korean', 'title': 'Korean'}]"
18466,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'latin', 'title': 'Latin American'}]"
18467,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'food_court', 'title': 'Food Court'}]"
18468,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]"
18469,"[{'alias': 'laotian', 'title': 'Laotian'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
18470,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotpot', 'title': 'Hot Pot'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
18471,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}]"
18472,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
18473,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
18474,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]"
18475,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
18476,"[{'alias': 'conveyorsushi', 'title': 'Conveyor Belt Sushi'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
18477,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
18478,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'seafood', 'title': 'Seafood'}]"
18479,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
18480,"[{'alias': 'cheesesteaks', 'title': 'Cheesesteaks'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
18481,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
18482,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'soup', 'title': 'Soup'}]"
18483,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]"
18484,"[{'alias': 'korean', 'title': 'Korean'}]"
18485,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]"
18486,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
18487,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
18488,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
18489,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}]"
18490,"[{'alias': 'colombian', 'title': 'Colombian'}]"
18491,"[{'alias': 'chinese', 'title': 'Chinese'}]"
18492,"[{'alias': 'indonesian', 'title': 'Indonesian'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
18493,"[{'alias': 'colombian', 'title': 'Colombian'}]"
18494,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]"
18495,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'soup', 'title': 'Soup'}]"
18496,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]"
18497,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
18498,"[{'alias': 'pizza', 'title': 'Pizza'}]"
18499,"[{'alias': 'mongolian', 'title': 'Mongolian'}, {'alias': 'hotpot', 'title': 'Hot Pot'}, {'alias': 'chinese', 'title': 'Chinese'}]"
18500,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'latin', 'title': 'Latin American'}]"
18501,"[{'alias': 'korean', 'title': 'Korean'}]"
18502,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
18503,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'poke', 'title': 'Poke'}]"
18504,"[{'alias': 'cantonese', 'title': 'Cantonese'}]"
18505,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
18506,"[{'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'thai', 'title': 'Thai'}]"
18507,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mexican', 'title': 'Mexican'}]"
18508,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
18509,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]"
18510,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18511,"[{'alias': 'korean', 'title': 'Korean'}]"
18512,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'falafel', 'title': 'Falafel'}]"
18513,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]"
18514,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
18515,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18516,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'dimsum', 'title': 'Dim Sum'}]"
18517,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'chinese', 'title': 'Chinese'}]"
18518,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]"
18519,"[{'alias': 'mexican', 'title': 'Mexican'}]"
18520,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'korean', 'title': 'Korean'}]"
18521,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]"
18522,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]"
18523,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
18524,"[{'alias': 'tapas', 'title': 'Tapas Bars'}]"
18525,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}]"
18526,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
18527,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
18528,"[{'alias': 'chinese', 'title': 'Chinese'}]"
18529,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'bbq', 'title': 'Barbeque'}]"
18530,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]"
18531,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]"
18532,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
18533,"[{'alias': 'chinese', 'title': 'Chinese'}]"
18534,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
18535,"[{'alias': 'mexican', 'title': 'Mexican'}]"
18536,"[{'alias': 'chinese', 'title': 'Chinese'}]"
18537,"[{'alias': 'hotpot', 'title': 'Hot Pot'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'chinese', 'title': 'Chinese'}]"
18538,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
18539,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'halal', 'title': 'Halal'}]"
18540,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
18541,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'bangladeshi', 'title': 'Bangladeshi'}]"
18542,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'salad', 'title': 'Salad'}]"
18543,"[{'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'lounges', 'title': 'Lounges'}]"
18544,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
18545,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}]"
18546,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}]"
18547,"[{'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
18548,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'chinese', 'title': 'Chinese'}]"
18549,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]"
18550,"[{'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
18551,"[{'alias': 'mexican', 'title': 'Mexican'}]"
18552,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
18553,"[{'alias': 'thai', 'title': 'Thai'}]"
18554,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]"
18555,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'soup', 'title': 'Soup'}]"
18556,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18557,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}]"
18558,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]"
18559,"[{'alias': 'szechuan', 'title': 'Szechuan'}]"
18560,"[{'alias': 'szechuan', 'title': 'Szechuan'}]"
18561,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'delis', 'title': 'Delis'}]"
18562,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
18563,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pubs', 'title': 'Pubs'}]"
18564,"[{'alias': 'italian', 'title': 'Italian'}]"
18565,"[{'alias': 'bangladeshi', 'title': 'Bangladeshi'}, {'alias': 'grocery', 'title': 'Grocery'}]"
18566,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]"
18567,"[{'alias': 'indpak', 'title': 'Indian'}]"
18568,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18569,"[{'alias': 'mexican', 'title': 'Mexican'}]"
18570,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
18571,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'greek', 'title': 'Greek'}]"
18572,"[{'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]"
18573,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'bangladeshi', 'title': 'Bangladeshi'}]"
18574,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]"
18575,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}]"
18576,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18577,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'desserts', 'title': 'Desserts'}]"
18578,"[{'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'indpak', 'title': 'Indian'}, {'alias': 'halal', 'title': 'Halal'}]"
18579,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'donuts', 'title': 'Donuts'}]"
18580,"[{'alias': 'seafood', 'title': 'Seafood'}]"
18581,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
18582,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
18583,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}]"
18584,"[{'alias': 'ramen', 'title': 'Ramen'}]"
18585,"[{'alias': 'indpak', 'title': 'Indian'}]"
18586,"[{'alias': 'latin', 'title': 'Latin American'}]"
18587,"[{'alias': 'mexican', 'title': 'Mexican'}]"
18588,"[{'alias': 'indpak', 'title': 'Indian'}]"
18589,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'mexican', 'title': 'Mexican'}]"
18590,"[{'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}]"
18591,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]"
18592,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
18593,"[{'alias': 'chinese', 'title': 'Chinese'}]"
18594,"[{'alias': 'bakeries', 'title': 'Bakeries'}]"
18595,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}]"
18596,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'bars', 'title': 'Bars'}]"
18597,"[{'alias': 'korean', 'title': 'Korean'}]"
18598,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'malaysian', 'title': 'Malaysian'}]"
